category,business_name,public_contact_name,role_or_best_contact,city,zip,website,source,notes,outreach_hook
accounting,Block Advisors,,Office Manager / Small Business Tax Lead,Blaine,55449,https://www.blockadvisors.com/tax-office-near-me/minnesota/blaine/23097/,web_search,10340 Baltimore St NE Ste 130 Blaine MN 55449,Small business tax prep office in target zip
accounting,John A. Knutson & Co. PLLP,,Partner or Managing CPA,Blaine,55449,https://jakcpa.com/blaine/,web_search,CPA firm serving Blaine,Accounting and CPA firm serving Blaine businesses
accounting,Rocca CPA,,Owner or Managing CPA,Blaine,55449,https://www.roccacpa.com/cpa-blaine,web_search,Full-service CPA page for Blaine,Local CPA positioning for business owners
accounting,Carpenter Evert & Associates,,Partner or Practice Manager,Blaine,55449,https://www.carpenterevert.com/contact/cpa-firm-service-area/blaine-mn,web_search,Blaine service area page,CPA firm with business services
accounting,Passageway Financial,,Owner or Managing CPA,Blaine,55449,https://www.passagewayfinancial.com/services/blaine,web_search,Blaine accounting firm for local businesses,Strong small-business messaging
accounting,AB Tax Accounting,,Owner or Office Manager,Blaine,55449,https://www.abataxaccounting.com/controller-accounting-blaine-mn.php,web_search,Blaine accounting services page,Controller and accounting services
accounting,AccountSource LLC,,Owner or Office Manager,Blaine,55449,https://www.taxbuzz.com/find-the-best-tax-preparer/minnesota/blaine/accountsource-llc-67fcf8d1c7c0b,web_search,12203 Aberdeen St NE Suite 130 Blaine MN 55449,In target zip with tax planning services
accounting,UptoDate Bookkeeping,,Owner or Office Manager,Blaine,55449,https://www.uptodatebookkeeping.com/,web_search,Bookkeeping and payroll in Blaine,Bookkeeping and payroll fit for AI guardrails
accounting,Venn Tax and Bookkeeping Inc,,Owner or Office Manager,Blaine,55449,https://venntax.com/contact/,web_search,9121 Baltimore St NE Suite 112 Blaine MN 55449,In target zip with office address published
accounting,Venn Bookkeeping,,Owner or Office Manager,Blaine,55449,https://vennbookkeeping.com/,web_search,Bookkeeping brand tied to local market,Business workflow and bookkeeping operations
accounting,TaxPlusMN,,Owner or Office Manager,Blaine,55449,http://taxplusmn.com/,web_search,Tax and business services site,Tax-focused local firm
accounting,Business Cents Payroll,,Owner or Payroll Services Manager,Blaine,55449,https://www.businesscentspayroll.com/,web_search,Payroll processing page targeting Blaine,Payroll workflows create strong AI policy case
accounting,Mary Shelby Accounting,Mary Shelby,Owner / Tax Professional,Blaine,55449,https://www.taxbuzz.com/find-the-best-tax-preparer/minnesota/blaine/mary-shelby,web_search,Public TaxBuzz profile,Named local tax preparer
accounting,JBH Accounting & Tax Services LLC,,Owner / Tax Professional,Blaine,55449,https://www.taxbuzz.com/minnesota/blaine/jbh-accounting-tax-services-llc,web_search,Public TaxBuzz listing,Local tax and accounting firm
